id;text;thema;number;short_version_num;invers;referat;ordering;domain;subject;topic_full;topic_de;topic_en
13;Der/Die DozentIn scheint Lehre als reine Pflichtuebung und Routine zu betrachten.;Motivierung;12;0;1;0;10;3;Lehrveranstaltung;Motivierung;Motivierung;Motivation
14;Die Darstellungen waren langweilig und trocken.;Motivierung;23;0;1;0;10;3;Lehrveranstaltung;Motivierung;Motivierung;Motivation
15;Der/Die DozentIn wirkte motivierend.;Motivierung;25;11;0;0;10;3;DozentIn;Motivierung;Motivierung;Motivation
16;Der Besuch der Lehrveranstaltung lohnt sich meiner Meinung nach.;Relevanz und Nutzen;30;0;0;0;11;3;StudentIn;Relevanz.und.Nutzen;Relevanz und Nutzen;Relevance and use
17;Ich habe Sinnvolles und Wichtiges gelernt.;Relevanz und Nutzen;31;13;0;0;11;3;StudentIn;Relevanz.und.Nutzen;Relevanz und Nutzen;Relevance and use
18;Ich habe in dieser Lehrveranstaltung viel gelernt.;Relevanz und Nutzen;34;0;0;0;11;3;StudentIn;Relevanz.und.Nutzen;Relevanz und Nutzen;Relevance and use
19;Der/Die DozentIn stellte unterschiedliche Meinungen zum Thema dar.;Spektrum;5;0;0;0;12;3;Lehrveranstaltung;Spektrum;Spektrum;Scope
20;Der/Die DozentIn stellte verschiedene Theorien gegenueber.;Spektrum;13;5;0;0;12;3;Lehrveranstaltung;Spektrum;Spektrum;Scope
21;Der/Die DozentIn stellte Bezuege zu anderen Fachgebieten her.;Spektrum;18;0;0;0;12;3;Lehrveranstaltung;Spektrum;Spektrum;Scope
22;Der Inhalt der Lehrveranstaltung war gut strukturiert.;Struktur und Aufbau;11;7;0;0;13;3;Lehrveranstaltung;Struktur.und.Aufbau;Struktur und Aufbau;Structure
23;Struktur und Aufbau der Lehrveranstaltung waren nachvollziehbar.;Struktur und Aufbau;15;0;0;0;13;3;Lehrveranstaltung;Struktur.und.Aufbau;Struktur und Aufbau;Structure
24;Die Lehrveranstaltung war gut organisiert.;Struktur und Aufbau;19;0;0;0;13;3;Lehrveranstaltung;Struktur.und.Aufbau;Struktur und Aufbau;Structure
25;Der/Die DozentIn wirkte freundlich.;Sympathie;26;0;0;0;14;3;DozentIn;Sympathie;Sympathie;Sympathy
26;Der/Die DozentIn wirkte arrogant.;Sympathie;27;0;1;0;14;3;DozentIn;Sympathie;Sympathie;Sympathy
27;Der/Die DozentIn wirkte herablassend.;Sympathie;28;12;1;0;14;3;DozentIn;Sympathie;Sympathie;Sympathy
28;Die Lehrveranstaltungsinhalte waren gut vorbereitet.;Verstaendlichkeit;6;0;0;0;15;3;Lehrveranstaltung;Verstaendlichkeit;Verstaendlichkeit;Comprehensibility
29;Der/Die DozentIn vermittelte den Stoff anschaulich.;Verstaendlichkeit;10;6;0;0;15;3;Lehrveranstaltung;Verstaendlichkeit;Verstaendlichkeit;Comprehensibility
30;Der/Die DozentIn konnte Kompliziertes verstaendlich machen.;Verstaendlichkeit;22;0;0;0;15;3;Lehrveranstaltung;Verstaendlichkeit;Verstaendlichkeit;Comprehensibility
35;Die Temperatur und Belueftung des Raumes waren gut.;Rahmenbedingungen;35;0;0;0;16;4;Rahmenbedingungen;Rahm01_Temperatur.und.Belueftung;RB: Temperatur und Belueftung;Cond: Temperature
36;Die Akustik im Raum war gut.;Rahmenbedingungen;36;0;0;0;17;4;Rahmenbedingungen;Rahm02_Akustik;RB: Akustik;Cond: Acoustics
37;Die verwendeten Medien waren gut.;Rahmenbedingungen;37;15;0;0;18;4;Rahmenbedingungen;Rahm03_Lesbarkeit.der.Medien;RB: Lesbarkeit der Medien;Cond: Media used were good
38;Der/Die DozentIn setzte Medien in angemessenem Umfang ein.;Rahmenbedingungen;38;16;0;0;19;4;Rahmenbedingungen;Rahm04_Umfang.des.Medieneinsatzes;RB: Umfang des Medieneinsatzes;Cond: Lecturer's media use was appropriate
39;Die angegebene Literatur war verfuegbar.;Rahmenbedingungen;39;17;0;0;20;4;Rahmenbedingungen;Rahm05_Verfuegbarkeit.der.Literatur;RB: Verfuegbarkeit der Literatur;Cond: Literature was available
40;Die Lehrveranstaltung wurde rechtzeitig und zutreffend angekuendigt.;Rahmenbedingungen;40;0;0;0;21;4;Rahmenbedingungen;Rahm06_Ankuendigung.der.LV;RB: Ankuendigung der LV;Cond: Announced correctly
41;Der/Die DozentIn hielt sich an die Lehrveranstaltungszeiten.;Rahmenbedingungen;41;0;0;0;22;4;Rahmenbedingungen;Rahm07_Veranstaltungszeiten;RB: Veranstaltungszeiten;Cond: Adherence to course time
42;Wie viele Lehrveranstaltungstermine fanden nicht statt und wurden nicht nachgeholt?;Rahmenbedingungen;42;0;0;0;23;4;Rahmenbedingungen;Rahm08_Ausfalltermine;RB: Ausfalltermine;Cond: Cancelled appointments
43;An wie vielen Lehrveranstaltungsterminen haben Sie nicht teilgenommen?;Rahmenbedingungen;43;0;0;0;24;4;Rahmenbedingungen;Rahm09_Termine.nicht.teilgenommen;RB: Termine nicht teilgenommen;Cond: Not attended appointments
44;Einmal abgesehen von Ihrer Bewertung dieser speziellen Lehrveranstaltung, wie gross ist ihr Interesse am Stoff der Lehrveranstaltung?;Rahmenbedingungen;44;18;0;0;25;4;Rahmenbedingungen;Rahm10_Interesse;RB: Interesse;Cond: Interest
52;Einmal abgesehen von Ihrem Zeitaufwand fuer ein Referat oder eine Hausarbeit, wie viele Stunden pro Woche haben Sie durchschnittlich fuer die Vor- und Nachbereitung der Lehrveranstaltung aufgewendet?;Rahmenbedingungen;45;19;0;0;26;4;Rahmenbedingungen;Rahm11_Aufwand.in.Stunden;RB: Aufwand in Stunden;Cond: Hours spent
45;Die Referate waren gut strukturiert und verstaendlich.;Referate;46;20;0;1;27;5;Referate;Ref1_Gut.strukturiert.u.verstaendlich;Ref: Gut strukturiert und verstaendlich;Pres: Well-structured and comprehensible
46;Die Referenten waren gut vorbereitet.;Referate;47;21;0;1;28;5;Referate;Ref2_Referenten.gut.vorbereitet;Ref: Referenten gut vorbereitet;Pres: Speakers well-prepared
47;Die referierten Themen waren nuetzlich und wertvoll.;Referate;48;22;0;1;29;5;Referate;Ref3_Themen.nuetzlich.u.wertvoll;Ref: Themen nuetzlich und wertvoll;Pres: Useful and valuable
48;Die Referate wurden durch den/die DozentIn adaequat ergaenzt.;Referate;49;23;0;1;30;5;Referate;Ref4_Durch.Dozent.adaequat.ergaenzt;Ref: Durch Dozent adaequat ergaenzt;Pres: Adequately supplemented by lecturer
49;Es blieb genuegend Zeit fuer Fragen und Diskussion;Referate;50;24;0;1;31;5;Referate;Ref5_Zeit.fuer.Fragen;Ref: Zeit fuer Fragen;Pres: Time for questions
50;Die Referate waren insgesamt...;Referate;51;25;0;1;32;5;Referate;Ref6_Insgesamt;Ref: Insgesamt;Pres: Overall
51;Mit diesem Bogen konnte ich meine Meinung zur Lehrveranstaltung gut wiedergeben.;Sonstige;52;26;0;0;33;6;Sonstige;Sonst_Bogen.konnte.Meinung.gut.wiedergeben;Mit Bogen Meinung gut wiedergeben;I was able to convey my opinion with this evaluation sheet
